student_id,oe_id,grade,semester,score,label,is_negative,split
STU0324,CSE_OE606_Quantum,F,6,0.0,0,0,val
STU0399,CSE_OE506_BigData,,5,0.0,0,1,train
STU0030,CSE_OE702_DataPrivacy,,7,0.0,0,1,test
STU0442,ECE_OE701_AutomotiveElec,,7,0.0,0,1,test
STU0401,ECE_OE603_PowerElec,,6,0.0,0,1,val
STU0129,ME_OE506_3DPrinting,,5,0.0,0,1,train
STU0475,EEE_OE603_ElecVehicles,,6,0.0,0,1,val
STU0483,EEE_OE508_EnergyStor,A+,5,0.9,1,0,train
STU0309,ME_OE502_CAD_CAM,,5,0.0,0,1,train
STU0395,CE_OE601_EarthquakeEng,,6,0.0,0,1,val
STU0235,ECE_OE707_Terahertz,,7,0.0,0,1,test
STU0369,EEE_OE604_Microgrids,,6,0.0,0,1,val
STU0378,ME_OE502_CAD_CAM,,5,0.0,0,1,train
STU0030,CSE_OE508_NLP,,5,0.0,0,1,train
STU0144,ME_OE506_3DPrinting,B+,5,0.7,1,0,train
STU0034,ME_OE701_IndustrialAuto,B,7,0.6,1,0,test
STU0268,ME_OE501_Robotics,,5,0.0,0,1,train
STU0156,CSE_OE504_WebDev,B,5,0.6,1,0,train
STU0220,CSE_OE501_ML,,5,0.0,0,1,train
STU0278,CSE_OE606_Quantum,,6,0.0,0,1,val
STU0168,CSE_OE504_WebDev,,5,0.0,0,1,train
STU0439,CE_OE706_SeismicDesign,,7,0.0,0,1,test
STU0107,CSE_OE608_MLOps,,6,0.0,0,1,val
STU0208,EEE_OE508_EnergyStor,,5,0.0,0,1,train
STU0312,CSE_OE607_EdgeAI,,6,0.0,0,1,val
STU0193,ECE_OE506_PCBDesign,A+,5,0.9,1,0,train
STU0248,CSE_OE508_NLP,,5,0.0,0,1,train
STU0471,CE_OE507_SoilMech,,5,0.0,0,1,train
STU0429,ME_OE501_Robotics,,5,0.0,0,1,train
STU0127,CE_OE507_SoilMech,,5,0.0,0,1,train
STU0146,EEE_OE601_HVDC,,6,0.0,0,1,val
STU0334,CSE_OE602_Blockchain,,6,0.0,0,1,val
STU0473,EEE_OE706_Superconductors,,7,0.0,0,1,test
STU0251,CSE_OE705_SoftwareArch,,7,0.0,0,1,test
STU0170,ECE_OE603_PowerElec,,6,0.0,0,1,val
STU0030,CSE_OE704_HCI,,7,0.0,0,1,test
STU0166,ECE_OE506_PCBDesign,,5,0.0,0,1,train
STU0180,EEE_OE603_ElecVehicles,B+,6,0.7,1,0,val
STU0366,EEE_OE702_SolarFarm,,7,0.0,0,1,test
STU0290,CE_OE701_SmartInfra,,7,0.0,0,1,test
STU0471,EEE_OE603_ElecVehicles,,6,0.0,0,1,val
STU0157,EEE_OE706_Superconductors,,7,0.0,0,1,test
STU0064,ECE_OE708_QuantumComm,,7,0.0,0,1,test
STU0025,ECE_OE602_RFDesign,,6,0.0,0,1,val
STU0019,EEE_OE708_SpacePower,,7,0.0,0,1,test
STU0137,ME_OE503_ThermalEng,,5,0.0,0,1,train
STU0132,EEE_OE704_BatteryTech,,7,0.0,0,1,test
STU0045,ECE_OE505_Microcontrollers,C,5,0.5,0,0,train
STU0397,ECE_OE504_SignalProc,B+,5,0.7,1,0,train
STU0448,EEE_OE503_RenewableEE,,5,0.0,0,1,train
STU0214,ECE_OE507_Antenna,,5,0.0,0,1,train
STU0185,EEE_OE701_EnergyAudit,A+,7,0.9,1,0,test
STU0325,ECE_OE505_Microcontrollers,,5,0.0,0,1,train
STU0111,CSE_OE503_CloudComputing,,5,0.0,0,1,train
STU0116,ECE_OE603_PowerElec,,6,0.0,0,1,val
STU0246,CE_OE601_EarthquakeEng,B+,6,0.7,1,0,val
STU0112,CE_OE508_BuildingInfo,,5,0.0,0,1,train
STU0194,EEE_OE603_ElecVehicles,,6,0.0,0,1,val
STU0471,CSE_OE603_DevOps,,6,0.0,0,1,val
STU0201,ECE_OE603_PowerElec,B+,6,0.7,1,0,val
STU0045,ECE_OE503_IoTHardware,,5,0.0,0,1,train
STU0233,ME_OE703_HydrogenEnergy,,7,0.0,0,1,test
STU0054,EEE_OE504_SmartGrid,,5,0.0,0,1,train
STU0025,CE_OE608_HydroEng,,6,0.0,0,1,val
STU0386,ME_OE506_3DPrinting,,5,0.0,0,1,train
STU0214,ME_OE504_FluidMech,,5,0.0,0,1,train
STU0015,CSE_OE607_EdgeAI,,6,0.0,0,1,val
STU0207,EEE_OE702_SolarFarm,,7,0.0,0,1,test
STU0421,ME_OE705_TurbineDes,,7,0.0,0,1,test
STU0437,EEE_OE505_HighVoltage,,5,0.0,0,1,train
STU0162,CSE_OE602_Blockchain,,6,0.0,0,1,val
STU0473,ECE_OE508_OpticalComm,,5,0.0,0,1,train
STU0402,EEE_OE701_EnergyAudit,,7,0.0,0,1,test
STU0299,EEE_OE502_ElecDrives,,5,0.0,0,1,train
STU0084,EEE_OE702_SolarFarm,A+,7,0.9,1,0,test
STU0022,ECE_OE704_SpaceElec,A,7,0.8,1,0,test
STU0107,CSE_OE503_CloudComputing,B,5,0.6,1,0,train
STU0391,CSE_OE606_Quantum,,6,0.0,0,1,val
STU0137,ME_OE508_NanoMfg,A+,5,0.9,1,0,train
STU0073,EEE_OE702_SolarFarm,,7,0.0,0,1,test
STU0162,EEE_OE605_PowerQuality,,6,0.0,0,1,val
STU0245,ME_OE602_Aerospace,B+,6,0.7,1,0,val
STU0421,ME_OE708_AdvancedRobotics,,7,0.0,0,1,test
STU0288,CE_OE608_HydroEng,,6,0.0,0,1,val
STU0021,CE_OE602_RemoteSensing,O,6,1.0,1,0,val
STU0040,EEE_OE703_WindEnergy,,7,0.0,0,1,test
STU0335,CSE_OE507_IoTProg,,5,0.0,0,1,train
STU0107,CE_OE703_GreenBuilding,,7,0.0,0,1,test
STU0121,EEE_OE507_ElecMachines,,5,0.0,0,1,train
STU0476,EEE_OE703_WindEnergy,,7,0.0,0,1,test
STU0049,CE_OE607_BridgeDesign,,6,0.0,0,1,val
STU0255,ECE_OE605_MEMS,,6,0.0,0,1,val
STU0017,EEE_OE701_EnergyAudit,,7,0.0,0,1,test
STU0258,ECE_OE505_Microcontrollers,,5,0.0,0,1,train
STU0342,CE_OE605_CoastalEng,B+,6,0.7,1,0,val
STU0349,ECE_OE603_PowerElec,,6,0.0,0,1,val
STU0051,ECE_OE708_QuantumComm,,7,0.0,0,1,test
STU0449,CSE_OE601_ComputerVision,,6,0.0,0,1,val
STU0157,EEE_OE602_FuelCells,,6,0.0,0,1,val
STU0160,ECE_OE608_SensorNet,,6,0.0,0,1,val
STU0107,ME_OE603_RenewableEnergy,B,6,0.6,1,0,val
STU0063,EEE_OE602_FuelCells,,6,0.0,0,1,val
STU0333,ECE_OE506_PCBDesign,A,5,0.8,1,0,train
STU0158,ECE_OE601_5G_Wireless,B+,6,0.7,1,0,val
STU0079,ME_OE701_IndustrialAuto,,7,0.0,0,1,test
STU0025,ECE_OE508_OpticalComm,,5,0.0,0,1,train
STU0247,EEE_OE605_PowerQuality,,6,0.0,0,1,val
STU0015,ME_OE505_Composite,,5,0.0,0,1,train
STU0367,ME_OE503_ThermalEng,,5,0.0,0,1,train
STU0325,ME_OE708_AdvancedRobotics,,7,0.0,0,1,test
STU0380,EEE_OE601_HVDC,,6,0.0,0,1,val
STU0343,CSE_OE601_ComputerVision,,6,0.0,0,1,val
STU0260,ECE_OE702_MedElec,,7,0.0,0,1,test
STU0209,ECE_OE604_Photonics,A,6,0.8,1,0,val
STU0271,CE_OE502_SmartCity,,5,0.0,0,1,train
STU0466,CSE_OE505_Cybersecurity,,5,0.0,0,1,train
STU0343,CE_OE502_SmartCity,,5,0.0,0,1,train
STU0151,ME_OE605_FEA,,6,0.0,0,1,val
STU0487,ECE_OE708_QuantumComm,,7,0.0,0,1,test
STU0265,CE_OE605_CoastalEng,,6,0.0,0,1,val
STU0311,ECE_OE707_Terahertz,,7,0.0,0,1,test
STU0449,ECE_OE704_SpaceElec,,7,0.0,0,1,test
STU0461,CSE_OE703_FinTech,,7,0.0,0,1,test
