prof_id,avg_teaching_clarity,avg_course_organization,avg_overall_rating,avg_interaction,avg_assignment_usefulness,sentiment_score,is_new_prof,fallback_level
PROF001,4.119,3.9047,3.3679,2.855,2.1811,0.3932,0,1
PROF001,4.119,3.9047,3.3679,2.855,2.1811,0.3932,0,1
PROF001,4.119,3.9047,3.3679,2.855,2.1811,0.3932,0,1
PROF002,3.3077,2.6708,3.1914,2.979,2.8328,0.3304,0,1
PROF002,3.3077,2.6708,3.1914,2.979,2.8328,0.3304,0,1
PROF002,3.3077,2.6708,3.1914,2.979,2.8328,0.3304,0,1
PROF002,3.3077,2.6708,3.1914,2.979,2.8328,0.3304,0,1
PROF003,2.8998,3.6442,2.6473,3.757,3.5628,0.3748,0,1
PROF003,2.8998,3.6442,2.6473,3.757,3.5628,0.3748,0,1
PROF003,2.8998,3.6442,2.6473,3.757,3.5628,0.3748,0,1
PROF003,2.8998,3.6442,2.6473,3.757,3.5628,0.3748,0,1
PROF004,3.0517,3.0244,3.6926,2.8675,3.3337,0.5524,0,1
PROF004,3.0517,3.0244,3.6926,2.8675,3.3337,0.5524,0,1
PROF005,4.4744,3.6732,3.6159,3.4186,3.2759,0.3681,0,1
PROF005,4.4744,3.6732,3.6159,3.4186,3.2759,0.3681,0,1
PROF005,4.4744,3.6732,3.6159,3.4186,3.2759,0.3681,0,1
PROF006,4.3414,3.5144,4.158,3.4816,4.1655,0.5257,0,1
PROF006,4.3414,3.5144,4.158,3.4816,4.1655,0.5257,0,1
PROF007,3.3973,3.5903,4.098,3.7255,4.4267,0.6808,0,1
PROF007,3.3973,3.5903,4.098,3.7255,4.4267,0.6808,0,1
PROF008,4.3158,3.9701,3.5758,3.1292,3.8049,0.4991,0,1
PROF008,4.3158,3.9701,3.5758,3.1292,3.8049,0.4991,0,1
PROF008,4.3158,3.9701,3.5758,3.1292,3.8049,0.4991,0,1
PROF009,3.3358,3.3051,4.1052,3.6226,4.0456,0.6094,0,1
PROF009,3.3358,3.3051,4.1052,3.6226,4.0456,0.6094,0,1
PROF010,2.5582,3.5553,4.1226,3.303,3.526,0.8093,0,1
PROF010,2.5582,3.5553,4.1226,3.303,3.526,0.8093,0,1
PROF010,2.5582,3.5553,4.1226,3.303,3.526,0.8093,0,1
PROF011,2.967,2.9784,2.6582,3.0115,2.8741,0.1699,0,1
PROF011,2.967,2.9784,2.6582,3.0115,2.8741,0.1699,0,1
