course_id,prof_id,semester,comment,sentiment_score
CSE101,PROF026,1,one of the best courses i have taken highly interactive sessions,0.9997
CSE101,PROF026,1,the course content was relevant and up to date with industry trends,0.9997
CSE101,PROF026,1,very engaging lectures the professor explains concepts clearly,0.9998
CSE101,PROF026,1,professor was okay explanations were sometimes unclear,0.0163
CSE101,PROF026,1,very engaging lectures the professor explains concepts clearly,0.9998
CSE101,PROF026,1,assignments were well structured and helped reinforce learning,0.9997
CSE101,PROF026,1,professor is very approachable and always ready to help students,0.9998
CSE101,PROF026,1,lectures were fine nothing extraordinary but covered the syllabus,0.588
CSE101,PROF002,2,lectures were fine nothing extraordinary but covered the syllabus,0.588
CSE101,PROF002,2,some topics were skipped due to time constraints,0.0024
CSE101,PROF002,2,assignments were too difficult and not related to what was taught,0.0005
CSE101,PROF002,2,the course was decent assignments could be more challenging,0.9862
CSE101,PROF002,2,very well organized course with clear learning outcomes,0.9999
CSE101,PROF002,2,the content felt outdated and not relevant to current practices,0.0002
CSE101,PROF002,2,very boring lectures professor reads directly from slides,0.0006
CSE101,PROF002,2,very disappointing course expected much more depth,0.0005
CSE101,PROF001,3,professor was okay explanations were sometimes unclear,0.0163
CSE101,PROF001,3,lectures were fine nothing extraordinary but covered the syllabus,0.588
CSE101,PROF001,3,assignments were well structured and helped reinforce learning,0.9997
CSE101,PROF009,4,very engaging lectures the professor explains concepts clearly,0.9998
CSE101,PROF009,4,professor is very approachable and always ready to help students,0.9998
CSE101,PROF009,4,the course content was relevant and up to date with industry trends,0.9997
CSE101,PROF009,4,the course content was relevant and up to date with industry trends,0.9997
CSE101,PROF009,4,some topics were skipped due to time constraints,0.0024
CSE101,PROF009,4,very disappointing course expected much more depth,0.0005
CSE101,PROF009,4,the course content was relevant and up to date with industry trends,0.9997
CSE101,PROF004,5,professor was okay explanations were sometimes unclear,0.0163
CSE101,PROF004,5,the course was decent assignments could be more challenging,0.9862
CSE101,PROF004,5,poor course structure topics were taught out of order,0.0002
CSE101,PROF004,5,the professor was often unavailable outside of class hours,0.0021
CSE101,PROF004,5,assignments were too difficult and not related to what was taught,0.0005
CSE101,PROF004,5,poor course structure topics were taught out of order,0.0002
CSE101,PROF011,6,some topics were skipped due to time constraints,0.0024
CSE101,PROF011,6,the content felt outdated and not relevant to current practices,0.0002
CSE101,PROF011,6,very well organized course with clear learning outcomes,0.9999
CSE101,PROF011,6,course organization was average slides were not always up to date,0.0021
CSE101,PROF011,6,very boring lectures professor reads directly from slides,0.0006
CSE102,PROF029,1,course organization was average slides were not always up to date,0.0021
CSE102,PROF029,1,very disappointing course expected much more depth,0.0005
CSE102,PROF029,1,the course was decent assignments could be more challenging,0.9862
CSE102,PROF006,2,very disappointing course expected much more depth,0.0005
CSE102,PROF006,2,the course content was relevant and up to date with industry trends,0.9997
CSE102,PROF006,2,the course content was relevant and up to date with industry trends,0.9997
CSE102,PROF006,2,one of the best courses i have taken highly interactive sessions,0.9997
CSE102,PROF006,2,professor was okay explanations were sometimes unclear,0.0163
CSE102,PROF006,2,one of the best courses i have taken highly interactive sessions,0.9997
CSE102,PROF006,2,excellent teaching style made difficult topics easy to understand,0.9989
CSE102,PROF003,3,very disappointing course expected much more depth,0.0005
CSE102,PROF003,3,the professor was often unavailable outside of class hours,0.0021
CSE102,PROF003,3,the course was decent assignments could be more challenging,0.9862
CSE102,PROF003,3,the course was decent assignments could be more challenging,0.9862
CSE102,PROF003,3,very disappointing course expected much more depth,0.0005
CSE102,PROF029,4,very disappointing course expected much more depth,0.0005
CSE102,PROF029,4,the professor was often unavailable outside of class hours,0.0021
CSE102,PROF029,4,lectures were fine nothing extraordinary but covered the syllabus,0.588
CSE102,PROF029,4,assignments were too difficult and not related to what was taught,0.0005
CSE102,PROF029,4,course organization was average slides were not always up to date,0.0021
CSE102,PROF029,4,lectures were fine nothing extraordinary but covered the syllabus,0.588
CSE102,PROF029,4,very boring lectures professor reads directly from slides,0.0006
CSE102,PROF029,4,the content felt outdated and not relevant to current practices,0.0002
CSE102,PROF011,5,very disappointing course expected much more depth,0.0005
CSE102,PROF011,5,the course was decent assignments could be more challenging,0.9862
CSE102,PROF011,5,very disappointing course expected much more depth,0.0005
CSE102,PROF011,5,assignments were too difficult and not related to what was taught,0.0005
CSE102,PROF011,5,very disappointing course expected much more depth,0.0005
CSE102,PROF011,5,average course content was okay but could have been more detailed,0.0097
CSE102,PROF020,6,the professor s real world examples made the subject very interesting,0.9998
CSE102,PROF020,6,the course was decent assignments could be more challenging,0.9862
CSE102,PROF020,6,the course was decent assignments could be more challenging,0.9862
CSE102,PROF020,6,very well organized course with clear learning outcomes,0.9999
CSE102,PROF020,6,poor course structure topics were taught out of order,0.0002
CSE102,PROF020,6,very well organized course with clear learning outcomes,0.9999
CSE102,PROF020,6,very disappointing course expected much more depth,0.0005
CSE102,PROF020,6,very engaging lectures the professor explains concepts clearly,0.9998
CSE201,PROF016,1,very disappointing course expected much more depth,0.0005
CSE201,PROF016,1,the content felt outdated and not relevant to current practices,0.0002
CSE201,PROF016,1,lectures were fine nothing extraordinary but covered the syllabus,0.588
CSE201,PROF016,1,the professor was often unavailable outside of class hours,0.0021
CSE201,PROF016,1,very disappointing course expected much more depth,0.0005
CSE201,PROF016,1,very disappointing course expected much more depth,0.0005
CSE201,PROF016,1,assignments were too difficult and not related to what was taught,0.0005
CSE201,PROF001,2,course organization was average slides were not always up to date,0.0021
CSE201,PROF001,2,the professor s real world examples made the subject very interesting,0.9998
CSE201,PROF001,2,some topics were skipped due to time constraints,0.0024
CSE201,PROF001,2,excellent teaching style made difficult topics easy to understand,0.9989
CSE201,PROF001,2,the course content was relevant and up to date with industry trends,0.9997
