course_id,prof_id,semester,avg_assignment_usefulness,avg_teaching_clarity,avg_course_organization,avg_interaction,avg_overall_rating,num_responses
CSE101,PROF026,1,4.12,5.0,2.27,3.82,4.36,74
CSE101,PROF002,2,3.09,3.0,1.85,3.18,2.39,38
CSE101,PROF001,3,1.55,4.35,3.96,3.34,3.48,40
CSE101,PROF009,4,4.63,4.05,4.4,3.54,4.82,80
CSE101,PROF004,5,3.54,3.54,2.17,3.51,2.62,24
CSE101,PROF011,6,2.4,2.36,1.96,4.61,3.98,30
CSE102,PROF029,1,4.71,2.29,3.13,2.14,2.61,44
CSE102,PROF006,2,3.32,5.0,3.64,4.91,4.54,66
CSE102,PROF003,3,5.0,2.23,4.22,4.23,2.54,55
CSE102,PROF029,4,3.98,3.54,2.89,2.51,2.6,25
CSE102,PROF011,5,4.55,3.01,3.44,2.28,2.29,58
CSE102,PROF020,6,3.97,2.12,2.67,3.13,3.19,77
CSE201,PROF016,1,3.62,4.18,4.22,4.35,2.98,65
CSE201,PROF001,2,3.07,4.35,3.91,2.2,3.58,47
CSE201,PROF021,3,1.81,3.53,4.82,2.64,2.73,30
CSE201,PROF020,4,3.71,1.97,2.49,3.58,2.59,76
CSE201,PROF014,5,3.13,4.02,3.56,3.53,3.05,30
CSE201,PROF002,6,3.29,2.99,3.26,2.6,2.85,26
CSE202,PROF011,1,2.12,2.99,2.16,2.02,3.12,33
CSE202,PROF007,2,4.06,4.61,3.44,4.21,4.33,46
CSE202,PROF023,3,3.68,2.76,3.34,3.61,3.33,55
CSE202,PROF024,4,1.68,3.58,5.0,3.06,2.77,79
CSE202,PROF024,5,3.65,3.7,4.2,2.34,3.94,54
CSE202,PROF009,6,4.25,3.76,3.95,4.6,4.47,62
CSE301,PROF010,1,2.39,4.06,3.15,3.36,3.36,39
CSE301,PROF008,2,3.58,4.76,3.54,2.81,3.39,26
CSE301,PROF002,3,3.14,4.08,3.38,2.31,4.98,45
CSE301,PROF019,4,3.62,4.52,3.18,3.83,4.08,55
CSE301,PROF027,5,4.57,4.54,4.19,3.34,3.14,51
CSE301,PROF005,6,3.93,4.51,3.39,4.52,4.83,23
CSE302,PROF012,1,2.42,2.58,2.94,3.4,2.73,20
CSE302,PROF014,2,4.4,3.76,3.25,2.17,2.27,25
CSE302,PROF010,3,3.53,1.7,4.01,3.18,5.0,72
