student_id,branch,semester,actual_oe,actual_rank,total_candidates,actual_score,predicted_score,hit@5,hit@10,ndcg@10,top5_oes
STU0034,CSE,7,ME_OE701_IndustrialAuto,24,32,0.6,0.1246,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0185,CSE,7,EEE_OE701_EnergyAudit,31,32,0.9,0.082,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0084,ECE,7,EEE_OE702_SolarFarm,9,32,0.9,0.1346,0,1,0.301,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0022,EEE,7,ECE_OE704_SpaceElec,20,32,0.8,0.1012,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0400,ECE,7,ME_OE701_IndustrialAuto,23,32,0.7,0.0909,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0032,ME,7,ECE_OE708_QuantumComm,32,32,0.7,0.0951,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0349,CE,7,EEE_OE702_SolarFarm,7,32,0.8,0.0932,0,1,0.3333,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | ME_OE708_AdvancedRobotics
STU0267,CE,7,ECE_OE701_AutomotiveElec,15,32,0.8,0.0944,0,0,0.0,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | ME_OE708_AdvancedRobotics
STU0451,CE,7,EEE_OE705_GridCyber,3,32,0.8,0.1056,1,1,0.5,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0088,ECE,7,CSE_OE702_DataPrivacy,21,32,1.0,0.1191,0,0,0.0,ME_OE707_SustainableMfg | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0341,CE,7,ECE_OE708_QuantumComm,32,32,0.7,0.0539,0,0,0.0,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0366,CSE,7,ECE_OE708_QuantumComm,32,32,1.0,0.0743,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0246,EEE,7,ME_OE705_TurbineDes,4,32,0.6,0.1573,1,1,0.4307,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0381,CE,7,EEE_OE702_SolarFarm,7,32,1.0,0.1011,0,1,0.3333,ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CSE_OE703_FinTech
STU0077,ME,7,ECE_OE701_AutomotiveElec,14,32,0.7,0.1099,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE705_GridCyber | EEE_OE708_SpacePower | CE_OE701_SmartInfra
STU0471,ECE,7,EEE_OE707_TidalEnergy,15,32,0.7,0.1346,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | EEE_OE705_GridCyber
STU0289,EEE,7,ME_OE703_HydrogenEnergy,9,32,0.8,0.1167,0,1,0.301,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE707_SustainableMfg | ME_OE705_TurbineDes | CE_OE701_SmartInfra
STU0258,CE,7,EEE_OE708_SpacePower,4,32,0.6,0.1444,1,1,0.4307,ME_OE707_SustainableMfg | EEE_OE705_GridCyber | ME_OE705_TurbineDes | EEE_OE708_SpacePower | CSE_OE703_FinTech
