student_id,branch,semester,actual_oe,actual_rank,total_candidates,actual_score,predicted_score,hit@5,hit@10,ndcg@10,top5_oes
STU0034,CSE,7,ME_OE701_IndustrialAuto,31,32,0.6,0.1933,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0185,CSE,7,EEE_OE701_EnergyAudit,24,32,0.9,0.2106,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0084,ECE,7,EEE_OE702_SolarFarm,13,32,0.9,0.2458,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE702_DataPrivacy | CSE_OE703_FinTech
STU0022,EEE,7,ECE_OE704_SpaceElec,20,32,0.8,0.2345,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | ECE_OE701_AutomotiveElec
STU0400,ECE,7,ME_OE701_IndustrialAuto,31,32,0.7,0.1687,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CE_OE708_ClimateAdapt | CE_OE705_TunnelEng
STU0032,ME,7,ECE_OE708_QuantumComm,28,32,0.7,0.2123,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CE_OE701_SmartInfra
STU0349,CE,7,EEE_OE702_SolarFarm,12,32,0.8,0.2139,0,0,0.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0267,CE,7,ECE_OE701_AutomotiveElec,1,32,0.8,0.2219,1,1,1.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0451,CE,7,EEE_OE705_GridCyber,7,32,0.8,0.2051,0,1,0.3333,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
STU0088,ECE,7,CSE_OE702_DataPrivacy,5,32,1.0,0.2467,1,1,0.3869,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | CSE_OE703_FinTech | CSE_OE702_DataPrivacy
STU0341,CE,7,ECE_OE708_QuantumComm,26,32,0.7,0.1761,0,0,0.0,ECE_OE701_AutomotiveElec | ECE_OE703_SatelliteComm | CSE_OE703_FinTech | CSE_OE702_DataPrivacy | CSE_OE701_AutonomousSys
