student_id,branch,semester,actual_oe,actual_rank,total_candidates,actual_score,predicted_score,hit@5,hit@10,ndcg@10,top5_oes
STU0034,CSE,7,ME_OE701_IndustrialAuto,16,32,0.6,0.1647,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0185,CSE,7,EEE_OE701_EnergyAudit,28,32,0.9,0.1493,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0084,ECE,7,EEE_OE702_SolarFarm,9,32,0.9,0.2199,0,1,0.301,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0022,EEE,7,ECE_OE704_SpaceElec,29,32,0.8,0.1525,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0400,ECE,7,ME_OE701_IndustrialAuto,15,32,0.7,0.1813,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0032,ME,7,ECE_OE708_QuantumComm,28,32,0.7,0.1486,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CE_OE701_SmartInfra | EEE_OE708_SpacePower | EEE_OE702_SolarFarm
STU0349,CE,7,EEE_OE702_SolarFarm,10,32,0.8,0.1906,0,1,0.2891,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | ME_OE702_SmartMfg | EEE_OE708_SpacePower
STU0267,CE,7,ECE_OE701_AutomotiveElec,14,32,0.8,0.1563,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | ME_OE703_HydrogenEnergy
STU0451,CE,7,EEE_OE705_GridCyber,8,32,0.8,0.1886,0,1,0.3155,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | ME_OE702_SmartMfg | EEE_OE708_SpacePower
STU0088,ECE,7,CSE_OE702_DataPrivacy,22,32,1.0,0.2018,0,0,0.0,ME_OE705_TurbineDes | ME_OE708_AdvancedRobotics | ME_OE707_SustainableMfg | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0341,CE,7,ECE_OE708_QuantumComm,26,32,0.7,0.1576,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | EEE_OE708_SpacePower
STU0366,CSE,7,ECE_OE708_QuantumComm,27,32,1.0,0.1449,0,0,0.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement
STU0246,EEE,7,ME_OE705_TurbineDes,1,32,0.6,0.2281,1,1,1.0,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | CE_OE704_ConstructionMgmt
STU0381,CE,7,EEE_OE702_SolarFarm,8,32,1.0,0.1697,0,1,0.3155,ME_OE705_TurbineDes | ME_OE707_SustainableMfg | ME_OE708_AdvancedRobotics | ME_OE702_SmartMfg | ME_OE703_HydrogenEnergy
