student_id,branch,semester,actual_oe,actual_rank,total_candidates,actual_score,predicted_score,hit@5,hit@10,ndcg@10,top5_oes
STU0034,CSE,7,ME_OE701_IndustrialAuto,31,32,0.6,0.1244,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE702_SolarFarm | ME_OE708_AdvancedRobotics | EEE_OE708_SpacePower
STU0185,CSE,7,EEE_OE701_EnergyAudit,22,32,0.9,0.1511,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes
STU0084,ECE,7,EEE_OE702_SolarFarm,3,32,0.9,0.1791,1,1,0.5,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | EEE_OE702_SolarFarm | CSE_OE703_FinTech | EEE_OE708_SpacePower
STU0022,EEE,7,ECE_OE704_SpaceElec,18,32,0.8,0.1319,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | ME_OE705_TurbineDes
STU0400,ECE,7,ME_OE701_IndustrialAuto,31,32,0.7,0.1132,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm
STU0032,ME,7,ECE_OE708_QuantumComm,26,32,0.7,0.1335,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | EEE_OE702_SolarFarm | EEE_OE708_SpacePower
STU0349,CE,7,EEE_OE702_SolarFarm,3,32,0.8,0.1554,1,1,0.5,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | EEE_OE708_SpacePower | ME_OE705_TurbineDes
STU0267,CE,7,ECE_OE701_AutomotiveElec,5,32,0.8,0.1443,1,1,0.3869,CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes | ECE_OE701_AutomotiveElec
STU0451,CE,7,EEE_OE705_GridCyber,9,32,0.8,0.1504,0,1,0.301,ME_OE708_AdvancedRobotics | CSE_OE703_FinTech | EEE_OE702_SolarFarm | ME_OE705_TurbineDes | EEE_OE708_SpacePower
STU0088,ECE,7,CSE_OE702_DataPrivacy,10,32,1.0,0.1599,0,1,0.2891,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | CSE_OE703_FinTech | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm
STU0341,CE,7,ECE_OE708_QuantumComm,23,32,0.7,0.1445,0,0,0.0,CSE_OE703_FinTech | EEE_OE702_SolarFarm | ME_OE708_AdvancedRobotics | EEE_OE708_SpacePower | ME_OE705_TurbineDes
STU0366,CSE,7,ECE_OE708_QuantumComm,25,32,1.0,0.1269,0,0,0.0,CE_OE704_ConstructionMgmt | CE_OE707_WasteManagement | ME_OE708_AdvancedRobotics | EEE_OE702_SolarFarm | ME_OE705_TurbineDes
